"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"22:24:23:661","24329339518286","   0.100","  52.097"," 3206"," 2800"," 3300"," 3300","  21.978","   2.200","   0.611","  18.144","   1.817","   0.505"," 90","0"," 88"," 91","   2.524","   0.253","   0.070","  28.000","  550","    0"
"22:24:23:774","24329655498849","   0.213","  53.920"," 3210"," 2700"," 3300"," 3300","  21.694","   4.649","   1.291","  17.923","   3.839","   1.066"," 90","0"," 89"," 92","   2.551","   0.541","   0.150","  28.000","  550","    0"
"22:24:23:874","24329936482556","   0.313","  53.753"," 3211"," 2800"," 3300"," 3300","  21.937","   6.850","   1.903","  18.102","   5.656","   1.571"," 90","0"," 88"," 91","   2.617","   0.803","   0.223","  28.000","  550","    0"
"22:24:23:979","24330229045758","   0.418","  57.117"," 3182"," 2700"," 3300"," 3300","  21.747","   9.122","   2.534","  17.989","   7.535","   2.093"," 90","0"," 89"," 92","   2.573","   1.072","   0.298","  28.000","  550","    0"
"22:24:24:079","24330510564149","   0.518","  61.966"," 3123"," 2800"," 3300"," 3300","  21.899","  11.324","   3.146","  17.957","   9.341","   2.595"," 91","0"," 89"," 92","   2.565","   1.330","   0.369","  28.000","  550","    0"
"22:24:24:180","24330792215134","   0.619","  57.928"," 3151"," 2700"," 3300"," 3300","  21.593","  13.496","   3.749","  17.546","  11.106","   3.085"," 91","0"," 88"," 91","   2.603","   1.592","   0.442","  28.000","  550","    0"
"22:24:24:280","24331073384017","   0.719","  55.038"," 3154"," 2700"," 3300"," 3300","  21.791","  15.684","   4.357","  17.876","  12.901","   3.584"," 90","0"," 89"," 91","   2.623","   1.855","   0.515","  28.000","  550","    0"
"22:24:24:385","24331366591856","   0.824","  50.868"," 3203"," 2700"," 3300"," 3300","  21.811","  17.968","   4.991","  18.021","  14.788","   4.108"," 91","0"," 89"," 92","   2.576","   2.125","   0.590","  28.000","  550","    0"
"22:24:24:485","24331647591603","   0.924","  50.616"," 3201"," 2800"," 3300"," 3300","  21.606","  20.137","   5.593","  17.850","  16.579","   4.605"," 89","0"," 89"," 92","   2.514","   2.377","   0.660","  28.000","  550","    0"
"22:24:24:586","24331928950658","   1.025","  50.460"," 3210"," 2800"," 3300"," 3300","  21.652","  22.312","   6.198","  17.875","  18.375","   5.104"," 91","0"," 89"," 93","   2.528","   2.631","   0.731","  28.000","  550","    0"
"22:24:24:686","24332210021393","   1.125","  51.470"," 3206"," 2700"," 3300"," 3300","  21.769","  24.497","   6.805","  17.964","  20.179","   5.605"," 92","0"," 90"," 92","   2.591","   2.891","   0.803","  28.000","  550","    0"
"22:24:24:787","24332491393579","   1.226","  65.180"," 3201"," 2800"," 3300"," 3300","  22.507","  26.759","   7.433","  18.707","  22.059","   6.127"," 91","0"," 89"," 93","   2.601","   3.153","   0.876","  28.000","  550","    0"

"Total Elapsed Time (sec) = 1.225808"
"Measured RDTSC Frequency (GHz) = 2.800"

"Cumulative Package Energy_0 (Joules) = 26.759216"
"Cumulative Package Energy_0 (mWh) = 7.433116"
"Average Package Power_0 (Watt) = 21.829861"

"Cumulative IA Energy_0 (Joules) = 22.058655"
"Cumulative IA Energy_0 (mWh) = 6.127404"
"Average Package IA_0 (Watt) = 17.995197"

"Cumulative DRAM Energy_0 (Joules) = 3.152832"
"Cumulative DRAM Energy_0 (mWh) = 0.875787"
"Average Package DRAM_0 (Watt) = 2.572044"
